,GCNH,GCNHM,GATH,GATHM,GraphConvH,GraphConvHM,SAGEH,SAGEHM,SGConvH,SGConvHM,MDH
ER_20000_10_0,3368,3317,5932,3101,3210,3183,3123,3112,3373,3307,3228
ER_20000_20_1,4817,4615,6453,4569,4505,4489,4377,4400,4824,4575,4512
ER_30000_15_0,6274,6047,9385,5711,5947,5890,5780,5768,6286,6031,5923
ER_20000_10_1,3323,3239,5920,3129,3178,3156,3082,3094,3329,3239,3187
ER_20000_15_1,4119,4020,6266,3940,3911,3933,3887,3852,4131,4013,3964
ER_50000_10_0,8416,8207,14686,7831,8016,8006,7757,7794,8427,8193,8055
ER_20000_20_0,4764,4621,6532,4346,4506,4466,4383,4397,4762,4597,4529
ER_10000_10_0,1675,1637,3017,1647,1598,1568,1563,1573,1677,1620,1625
ER_10000_15_0,2076,2005,3176,1990,1952,1952,1932,1952,2082,2008,1966
ER_10000_20_1,2474,2296,3237,2321,2425,2396,2205,2212,2466,2287,2255
ER_20000_15_0,4187,3996,6269,3861,3916,3907,3882,3877,4190,3993,3942
ER_30000_10_0,5020,4930,8947,4633,4818,4796,4668,4668,5030,4932,4852
ER_50000_15_0,10555,10106,15590,9614,10105,9968,9593,9623,10564,10085,9898
ER_10000_10_1,1704,1640,3065,1551,1599,1592,1566,1568,1698,1636,1624
ER_10000_15_1,2088,2024,3193,2037,1963,1958,1945,1932,2080,2001,1974
ER_10000_20_0,2426,2298,3284,2290,2352,2342,2186,2205,2423,2295,2249
ER_30000_20_0,7018,6812,9721,6590,6635,6708,6609,6606,7023,6823,6746
ER_50000_20_0,11657,11328,16111,10877,12081,11240,10884,10883,11688,11325,11188
