,GCNH,GCNHM,GATH,GATHM,GraphConvH,GraphConvHM,SAGEH,SAGEHM,SGConvH,SGConvHM,MDH
graph_karate,10,8,20,13,15,14,9,8,9,8,8
socfb-Mich67,211,203,1337,220,988,206,327,299,208,203,206
graph_ncstrlwg2,1131,1120,1713,1113,1193,1140,1110,1098,1135,1114,1108
graph_CA-HepPh,1555,1535,4337,1619,2060,1554,1580,1483,1554,1541,1525
graph_CA-AstroPh,1724,1637,7464,1869,3899,1647,1978,1699,1705,1635,1637
musae_git,235,198,9733,479,3085,195,2876,230,235,198,196
graph_CA-CondMat,2944,2927,6606,2921,3764,2963,2917,2757,2946,2932,2936
graph_Email-Enron,2847,2848,9580,2933,5740,2884,3333,2828,2851,2876,2880
gemsec_facebook_artist,772,802,19886,1087,9048,785,2024,930,778,786,789
deezer_HR,2502,2447,15446,2647,7867,2386,5066,3029,2477,2438,2377
