,BC,PageRank,closeness_centrality,EigenDegree,MDH,size
ER_10000_10_0,1798,1593,1798,1796,1625,10000
ER_10000_10_1,1819,1589,1799,1785,1624,10000
ER_10000_15_0,2212,1964,2158,2165,1966,10000
ER_10000_15_1,2232,1959,2181,2169,1974,10000
ER_10000_20_0,2456,2243,2386,2380,2249,10000
ER_10000_20_1,2458,2235,2383,2349,2255,10000
ER_20000_10_0,3901,3215,3594,3595,3228,20000
ER_20000_10_1,3856,3164,3567,3561,3187,20000
ER_20000_15_0,4763,3917,4301,4278,3942,20000
ER_20000_15_1,4739,3924,4321,4324,3964,20000
ER_20000_20_0,5225,4466,4790,4792,4529,20000
ER_20000_20_1,5184,4508,4787,4775,4512,20000
ER_30000_10_0,6078,4750,5395,5406,4852,30000
ER_30000_15_0,7376,5896,6443,6414,5923,30000
ER_30000_20_0,8242,6669,7162,7141,6746,30000
ER_50000_10_0,10415,7982,8995,8969,8055,50000
ER_50000_15_0,12407,9961,10805,10805,9898,50000
ER_50000_20_0,13877,11214,11931,11932,11188,50000
ER_1000_10_0,165,157,170,181,162,1000
ER_1000_10_1,170,162,177,177,158,1000
ER_1000_10_2,176,170,189,186,177,1000
ER_1000_10_3,170,163,182,182,162,1000
ER_1000_15_0,209,199,213,219,202,1000
ER_1000_15_1,196,190,220,217,190,1000
ER_1000_15_2,206,194,204,203,197,1000
ER_1000_15_3,208,202,217,219,205,1000
ER_1000_20_0,219,222,232,236,216,1000
ER_1000_20_1,232,226,245,241,237,1000
ER_1000_20_2,228,224,232,243,224,1000
ER_1000_20_3,227,227,241,249,236,1000
ER_2000_10_0,357,326,377,374,331,2000
ER_2000_10_1,351,328,369,375,328,2000
ER_2000_10_2,369,333,391,382,336,2000
ER_2000_10_3,347,331,374,368,330,2000
ER_2000_15_0,412,392,439,434,395,2000
ER_2000_15_1,412,399,430,423,397,2000
ER_2000_15_2,421,402,450,441,407,2000
ER_2000_15_3,434,395,448,430,408,2000
ER_2000_20_0,460,449,482,476,457,2000
ER_2000_20_1,454,448,476,479,451,2000
ER_2000_20_2,471,448,490,482,463,2000
ER_2000_20_3,463,462,487,481,467,2000
ER_5000_10_0,898,801,908,911,813,5000
ER_5000_10_1,887,813,912,901,822,5000
ER_5000_10_2,891,805,924,911,812,5000
ER_5000_10_3,887,795,932,923,817,5000
ER_5000_15_0,1058,987,1094,1072,994,5000
ER_5000_15_1,1077,995,1088,1083,1020,5000
ER_5000_15_2,1062,978,1094,1081,1000,5000
ER_5000_15_3,1068,986,1079,1080,998,5000
ER_5000_20_0,1168,1099,1185,1197,1115,5000
ER_5000_20_1,1206,1128,1210,1213,1146,5000
ER_5000_20_2,1198,1122,1195,1189,1130,5000
ER_5000_20_3,1176,1110,1201,1189,1126,5000
