,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,Amazon0302,GRAT,13,0.5,35584,262111,0.13575927755798117,2138.3362770080566
1,Amazon0312,GRAT,13,0.5,37788,400727,0.09429861227219528,3805.148458003998
2,Amazon0505,GRAT,13,0.5,39372,410236,0.09597402470772921,2439.862539768219
3,Amazon0601,GRAT,13,0.5,438,403393,0.001085789788122253,177.14840412139893
4,com-dblp,GRAT,13,0.5,38561,317080,0.12161284218493755,1625.1558258533478
5,com-youtube,GRAT,13,0.5,3548,1134796,0.0031265531425912676,5468.974760293961
6,deezer_HR,GRAT,13,0.5,6181,54573,0.11326113645942132,48.81750965118408
7,ego-facebook,GRAT,13,0.5,1161,4039,0.28744738796731867,2.4636504650115967
8,gemsec_facebook_artist,GRAT,13,0.5,504,50514,0.009977431999049768,10.109692573547363
9,actors_dat,GRAT,13,0.5,2587,10042,0.25761800438159727,3.5076491832733154
10,CA-AstroPh,GRAT,13,0.5,2909,18772,0.1549648412529299,6.0400230884552
11,CA-CondMat,GRAT,13,0.5,3182,23133,0.13755241429991788,7.100841283798218
12,CA-GrQc,GRAT,13,0.5,1065,5242,0.20316673025562762,1.0264441967010498
13,CA-HepPh,GRAT,13,0.5,2343,12008,0.1951199200532978,4.137608766555786
14,CA-HepTh,GRAT,13,0.5,1433,9877,0.1450845398400324,1.8298912048339844
15,dolphins,GRAT,13,0.5,3,34,0.08823529411764706,0.10496330261230469
16,Email-Enron,GRAT,13,0.5,3317,36692,0.09040117736836367,14.841686248779297
17,football,GRAT,13,0.5,32,115,0.2782608695652174,0.10705208778381348
18,jazz,GRAT,13,0.5,55,198,0.2777777777777778,0.48230814933776855
19,karate,GRAT,13,0.5,9,62,0.14516129032258066,0.10989022254943848
20,ncstrlwg2,GRAT,13,0.5,1155,6396,0.1805816135084428,0.9671242237091064
21,loc-gowalla_edges,GRAT,13,0.5,11162,196591,0.05677777721258857,693.1039259433746
22,musae_git,GRAT,13,0.5,462,37700,0.012254641909814323,37.23388624191284
23,soc-gplus,GRAT,13,0.5,1089,23628,0.046089385474860335,14.904823303222656
24,socfb-Brandeis99,GRAT,13,0.5,909,3898,0.2331965110312981,4.548022508621216
25,socfb-Mich67,GRAT,13,0.5,829,3748,0.2211846318036286,3.580878496170044
26,socfb-nips-ego,GRAT,13,0.5,434,2888,0.15027700831024932,0.5412774085998535
