,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,Amazon0302,GRAT,13,0.5,35584,262111,0.135759278,2138.336277
1,Amazon0312,GRAT,13,0.5,37788,400727,0.094298612,3805.148458
2,Amazon0505,GRAT,13,0.5,39372,410236,0.095974025,2439.86254
3,Amazon0601,GRAT,13,0.5,36010,403393,0.089267786,177.1484041
4,com-dblp,GRAT,13,0.5,38561,317080,0.121612842,1625.155826
5,com-youtube,GRAT,13,0.5,652355,1134796,0.574865438,5468.97476
6,deezer_HR,GRAT,13,0.5,6181,54573,0.113261136,48.81750965
7,ego-facebook,GRAT,13,0.5,1161,4039,0.287447388,2.463650465
8,gemsec_facebook_artist,GRAT,13,0.5,504,50514,0.009977432,10.10969257
9,actors_dat,GRAT,13,0.5,2587,10042,0.257618004,3.507649183
10,CA-AstroPh,GRAT,13,0.5,2909,18772,0.154964841,6.040023088
11,CA-CondMat,GRAT,13,0.5,3182,23133,0.137552414,7.100841284
12,CA-GrQc,GRAT,13,0.5,1065,5242,0.20316673,1.026444197
13,CA-HepPh,GRAT,13,0.5,2343,12008,0.19511992,4.137608767
14,CA-HepTh,GRAT,13,0.5,1433,9877,0.14508454,1.829891205
15,dolphins,GRAT,13,0.5,3,34,0.088235294,0.104963303
16,Email-Enron,GRAT,13,0.5,3317,36692,0.090401177,14.84168625
17,football,GRAT,13,0.5,32,115,0.27826087,0.107052088
18,jazz,GRAT,13,0.5,55,198,0.277777778,0.482308149
19,karate,GRAT,13,0.5,9,62,0.14516129,0.109890223
20,ncstrlwg2,GRAT,13,0.5,1155,6396,0.180581614,0.967124224
21,loc-gowalla_edges,GRAT,13,0.5,11162,196591,0.056777777,693.1039259
22,musae_git,GRAT,13,0.5,462,37700,0.012254642,37.23388624
23,soc-gplus,GRAT,13,0.5,1089,23628,0.046089385,14.9048233
24,socfb-Brandeis99,GRAT,13,0.5,909,3898,0.233196511,4.548022509
25,socfb-Mich67,GRAT,13,0.5,829,3748,0.221184632,3.580878496
26,socfb-nips-ego,GRAT,13,0.5,434,2888,0.150277008,0.541277409
