,graph,model,seed,threshold,n_covered,n,coverage,t_mean
0,Amazon0302,GAT,13,0.5,71350,262111,0.27221291742811254,1788.3441603183746
1,Amazon0312,GAT,13,0.5,94598,400727,0.2360659501356285,2496.118349790573
2,Amazon0505,GAT,13,0.5,95692,410236,0.2332608547275227,2629.8782992362976
3,Amazon0601,GAT,13,0.5,364776,403393,0.9042695336805547,228.73346734046936
4,com-dblp,GAT,13,0.5,61228,317080,0.19309953324082252,1637.9578988552094
5,com-youtube,GAT,13,0.5,689293,1134796,0.607415782219888,5138.696280002594
6,deezer_HR,GAT,13,0.5,4754,54573,0.08711267476590988,28.718260288238525
7,ego-facebook,GAT,13,0.5,1250,4039,0.3094825451844516,0.3753523826599121
8,gemsec_facebook_artist,GAT,13,0.5,36946,50514,0.7314011957081206,8.173710107803345
9,actors_dat,GAT,13,0.5,2604,10042,0.2593108942441745,1.140500545501709
10,CA-AstroPh,GAT,13,0.5,2957,18772,0.15752184103984657,3.234043598175049
11,CA-CondMat,GAT,13,0.5,4564,23133,0.19729390913413739,5.073600769042969
12,CA-GrQc,GAT,13,0.5,1417,5242,0.2703166730255628,0.49994325637817383
13,CA-HepPh,GAT,13,0.5,2193,12008,0.18262824783477682,1.5623068809509277
14,CA-HepTh,GAT,13,0.5,2089,9877,0.21150146805710235,1.2185709476470947
15,dolphins,GAT,13,0.5,4,34,0.11764705882352941,0.01555490493774414
16,Email-Enron,GAT,13,0.5,6130,36692,0.16706639049384062,10.017261743545532
17,football,GAT,13,0.5,38,115,0.33043478260869563,0.031240224838256836
18,jazz,GAT,13,0.5,44,198,0.2222222222222222,0.01562952995300293
19,karate,GAT,13,0.5,13,62,0.20967741935483872,0.0
20,ncstrlwg2,GAT,13,0.5,1782,6396,0.27861163227016883,0.6093716621398926
21,loc-gowalla_edges,GAT,13,0.5,21162,196591,0.10764480571338464,378.97208547592163
22,musae_git,GAT,13,0.5,5759,37700,0.15275862068965518,13.795053005218506
23,soc-gplus,GAT,13,0.5,1406,23628,0.05950567123751481,3.5021731853485107
24,socfb-Brandeis99,GAT,13,0.5,1155,3898,0.29630579784504874,0.3749582767486572
25,socfb-Mich67,GAT,13,0.5,604,3748,0.16115261472785486,0.29683685302734375
26,socfb-nips-ego,GAT,13,0.5,900,2888,0.31163434903047094,0.20309805870056152
27,Amazon0302,GCN,13,0.5,54585,262111,0.20825146598196947,1008.5360653400421
28,Amazon0312,GCN,13,0.5,66173,400727,0.16513237191404623,2014.002221107483
29,Amazon0505,GCN,13,0.5,61829,410236,0.15071568560535886,2071.159698486328
30,Amazon0601,GCN,13,0.5,358962,403393,0.8898567897806854,168.46439266204834
31,com-dblp,GCN,13,0.5,41999,317080,0.13245553172700897,1369.745142698288
32,com-youtube,GCN,13,0.5,655136,1134796,0.5773160991050373,4513.370979070663
33,deezer_HR,GCN,13,0.5,3507,54573,0.06426254741355615,28.25766921043396
34,ego-facebook,GCN,13,0.5,657,4039,0.16266402574894775,0.3280644416809082
35,gemsec_facebook_artist,GCN,13,0.5,36027,50514,0.713208219503504,7.9577460289001465
36,actors_dat,GCN,13,0.5,1063,10042,0.10585540728938458,1.0154683589935303
37,CA-AstroPh,GCN,13,0.5,1694,18772,0.09024078414660132,3.0315802097320557
38,CA-CondMat,GCN,13,0.5,3150,23133,0.13616910906497212,4.900860786437988
39,CA-GrQc,GCN,13,0.5,1103,5242,0.2104158718046547,0.4687919616699219
40,CA-HepPh,GCN,13,0.5,1550,12008,0.12908061292471684,1.515930414199829
41,CA-HepTh,GCN,13,0.5,1571,9877,0.15905639364179408,1.187882423400879
42,dolphins,GCN,13,0.5,4,34,0.11764705882352941,0.015635251998901367
43,Email-Enron,GCN,13,0.5,3210,36692,0.08748501035648097,9.530903577804565
44,football,GCN,13,0.5,34,115,0.2956521739130435,0.015566110610961914
45,jazz,GCN,13,0.5,29,198,0.14646464646464646,0.031241893768310547
46,karate,GCN,13,0.5,9,62,0.14516129032258066,0.0
47,ncstrlwg2,GCN,13,0.5,1398,6396,0.21857410881801126,0.5780630111694336
48,loc-gowalla_edges,GCN,13,0.5,7057,196591,0.03589686201301179,378.9614899158478
49,musae_git,GCN,13,0.5,299,37700,0.007931034482758621,12.462381601333618
50,soc-gplus,GCN,13,0.5,364,23628,0.015405451159641103,3.280916929244995
51,socfb-Brandeis99,GCN,13,0.5,470,3898,0.12057465366854797,0.3280453681945801
